Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
nightTest/nightSequence1--00000.jpg;go;670;393;675;398;nightTest/nightSequence1/testSequence1.mp4;0;nightTest/nightSequence1/testSequence1.mp4;0
nightTest/nightSequence1--00000.jpg;go;703;406;706;409;nightTest/nightSequence1/testSequence1.mp4;0;nightTest/nightSequence1/testSequence1.mp4;0
nightTest/nightSequence1--00000.jpg;stop;522;389;530;397;nightTest/nightSequence1/testSequence1.mp4;0;nightTest/nightSequence1/testSequence1.mp4;0
nightTest/nightSequence1--00000.jpg;stop;728;388;738;398;nightTest/nightSequence1/testSequence1.mp4;0;nightTest/nightSequence1/testSequence1.mp4;0
nightTest/nightSequence1--00001.jpg;go;670;393;675;398;nightTest/nightSequence1/testSequence1.mp4;1;nightTest/nightSequence1/testSequence1.mp4;1
nightTest/nightSequence1--00001.jpg;go;703;405;706;408;nightTest/nightSequence1/testSequence1.mp4;1;nightTest/nightSequence1/testSequence1.mp4;1
nightTest/nightSequence1--00001.jpg;stop;522;388;530;396;nightTest/nightSequence1/testSequence1.mp4;1;nightTest/nightSequence1/testSequence1.mp4;1
nightTest/nightSequence1--00001.jpg;stop;728;387;738;397;nightTest/nightSequence1/testSequence1.mp4;1;nightTest/nightSequence1/testSequence1.mp4;1
nightTest/nightSequence1--00002.jpg;go;670;391;675;396;nightTest/nightSequence1/testSequence1.mp4;2;nightTest/nightSequence1/testSequence1.mp4;2
nightTest/nightSequence1--00002.jpg;go;702;405;705;408;nightTest/nightSequence1/testSequence1.mp4;2;nightTest/nightSequence1/testSequence1.mp4;2
nightTest/nightSequence1--00002.jpg;stop;522;388;530;396;nightTest/nightSequence1/testSequence1.mp4;2;nightTest/nightSequence1/testSequence1.mp4;2
nightTest/nightSequence1--00002.jpg;stop;727;386;736;398;nightTest/nightSequence1/testSequence1.mp4;2;nightTest/nightSequence1/testSequence1.mp4;2
nightTest/nightSequence1--00003.jpg;go;670;390;675;395;nightTest/nightSequence1/testSequence1.mp4;3;nightTest/nightSequence1/testSequence1.mp4;3
nightTest/nightSequence1--00003.jpg;go;703;404;706;407;nightTest/nightSequence1/testSequence1.mp4;3;nightTest/nightSequence1/testSequence1.mp4;3
nightTest/nightSequence1--00003.jpg;stop;522;386;530;394;nightTest/nightSequence1/testSequence1.mp4;3;nightTest/nightSequence1/testSequence1.mp4;3
nightTest/nightSequence1--00003.jpg;stop;727;384;737;394;nightTest/nightSequence1/testSequence1.mp4;3;nightTest/nightSequence1/testSequence1.mp4;3
nightTest/nightSequence1--00004.jpg;go;670;389;675;394;nightTest/nightSequence1/testSequence1.mp4;4;nightTest/nightSequence1/testSequence1.mp4;4
nightTest/nightSequence1--00004.jpg;go;702;401;706;405;nightTest/nightSequence1/testSequence1.mp4;4;nightTest/nightSequence1/testSequence1.mp4;4
nightTest/nightSequence1--00004.jpg;stop;522;385;530;393;nightTest/nightSequence1/testSequence1.mp4;4;nightTest/nightSequence1/testSequence1.mp4;4
nightTest/nightSequence1--00004.jpg;stop;727;380;738;394;nightTest/nightSequence1/testSequence1.mp4;4;nightTest/nightSequence1/testSequence1.mp4;4
nightTest/nightSequence1--00005.jpg;go;670;388;675;393;nightTest/nightSequence1/testSequence1.mp4;5;nightTest/nightSequence1/testSequence1.mp4;5
nightTest/nightSequence1--00005.jpg;go;702;401;706;405;nightTest/nightSequence1/testSequence1.mp4;5;nightTest/nightSequence1/testSequence1.mp4;5
nightTest/nightSequence1--00005.jpg;stop;521;385;529;393;nightTest/nightSequence1/testSequence1.mp4;5;nightTest/nightSequence1/testSequence1.mp4;5
