,filename,class,x_min,y_min,x_max,y_max,frame,isNight
0,daySequence1--00000.jpg,stop,706,478,718,500,0,0
1,daySequence1--00001.jpg,stop,705,475,720,497,1,0
2,daySequence1--00002.jpg,stop,707,476,719,494,2,0
3,daySequence1--00005.jpg,stop,708,474,720,492,5,0
4,daySequence1--00006.jpg,stop,707,470,722,492,6,0
5,daySequence1--00007.jpg,stop,710,470,722,488,7,0
6,daySequence1--00008.jpg,stop,710,468,722,486,8,0
7,daySequence1--00009.jpg,stop,710,466,722,484,9,0
8,daySequence1--00010.jpg,stop,712,463,724,485,10,0
9,daySequence1--00013.jpg,stop,714,462,726,480,13,0
10,daySequence1--00016.jpg,stop,715,458,730,480,16,0
11,daySequence1--00017.jpg,stop,717,460,729,478,17,0
12,daySequence1--00019.jpg,stop,720,462,732,480,19,0
13,daySequence1--00023.jpg,stop,724,461,736,483,23,0
14,daySequence1--00024.jpg,stop,726,458,738,476,24,0
15,daySequence1--00027.jpg,stop,730,446,742,464,27,0
16,daySequence1--00028.jpg,stop,732,438,744,456,28,0
17,daySequence1--00029.jpg,stop,734,434,746,452,29,0
18,daySequence1--00030.jpg,stop,736,434,748,452,30,0
19,daySequence1--00031.jpg,stop,738,434,750,452,31,0
20,daySequence1--00032.jpg,stop,740,436,752,454,32,0
21,daySequence1--00033.jpg,stop,739,438,754,456,33,0
22,daySequence1--00034.jpg,stop,740,441,755,463,34,0
23,daySequence1--00035.jpg,stop,742,448,754,466,35,0
24,daySequence1--00036.jpg,stop,742,450,757,468,36,0
25,daySequence1--00037.jpg,stop,746,452,758,470,37,0
26,daySequence1--00038.jpg,stop,748,448,760,466,38,0
27,daySequence1--00039.jpg,stop,748,446,760,464,39,0
28,daySequence1--00040.jpg,stop,750,448,762,466,40,0
29,daySequence1--00041.jpg,stop,749,444,764,462,41,0
30,daySequence1--00042.jpg,stop,752,446,764,464,42,0
31,daySequence1--00043.jpg,stop,754,444,766,462,43,0
32,daySequence1--00044.jpg,stop,754,444,766,462,44,0
33,daySequence1--00045.jpg,stop,753,440,768,462,45,0
34,daySequence1--00046.jpg,stop,756,440,768,458,46,0
35,daySequence1--00047.jpg,stop,758,438,770,456,47,0
36,daySequence1--00048.jpg,stop,759,436,771,454,48,0
37,daySequence1--00049.jpg,stop,758,438,773,456,49,0
38,daySequence1--00050.jpg,stop,760,438,772,456,50,0
39,daySequence1--00051.jpg,stop,761,440,773,458,51,0
40,daySequence1--00052.jpg,stop,762,440,774,458,52,0
41,daySequence1--00053.jpg,stop,762,440,774,458,53,0
42,daySequence1--00054.jpg,stop,762,440,774,458,54,0
43,daySequence1--00055.jpg,stop,762,442,774,460,55,0
44,daySequence1--00056.jpg,stop,762,442,774,460,56,0
45,daySequence1--00057.jpg,stop,762,442,774,460,57,0
46,daySequence1--00058.jpg,stop,762,441,777,463,58,0
47,daySequence1--00059.jpg,stop,764,444,776,462,59,0
48,daySequence1--00060.jpg,stop,762,444,777,462,60,0
49,daySequence1--00061.jpg,stop,764,443,776,465,61,0
50,daySequence1--00062.jpg,stop,764,445,776,467,62,0
51,daySequence1--00063.jpg,stop,764,447,776,469,63,0
52,daySequence1--00064.jpg,stop,764,450,776,468,64,0
53,daySequence1--00065.jpg,stop,762,448,777,466,65,0
54,daySequence1--00066.jpg,stop,764,448,776,466,66,0
55,daySequence1--00067.jpg,stop,764,446,776,464,67,0
56,daySequence1--00068.jpg,stop,764,446,776,464,68,0
57,daySequence1--00069.jpg,stop,764,446,776,464,69,0
58,daySequence1--00070.jpg,stop,764,446,776,464,70,0
59,daySequence1--00071.jpg,stop,764,445,776,463,71,0
60,daySequence1--00072.jpg,stop,762,443,777,465,72,0
61,daySequence1--00073.jpg,stop,762,444,777,462,73,0
62,daySequence1--00074.jpg,stop,762,444,774,462,74,0
63,daySequence1--00075.jpg,stop,763,441,775,463,75,0
64,daySequence1--00076.jpg,stop,762,442,774,460,76,0
65,daySequence1--00077.jpg,stop,762,442,774,460,77,0
66,daySequence1--00078.jpg,stop,762,440,774,458,78,0
67,daySequence1--00079.jpg,stop,762,440,774,458,79,0
68,daySequence1--00080.jpg,stop,762,437,774,459,80,0
69,daySequence1--00081.jpg,stop,762,440,774,458,81,0
70,daySequence1--00082.jpg,stop,760,440,775,458,82,0
71,daySequence1--00083.jpg,stop,760,439,775,461,83,0
72,daySequence1--00084.jpg,stop,761,439,773,461,84,0
73,daySequence1--00085.jpg,stop,760,442,772,460,85,0
74,daySequence1--00086.jpg,stop,760,439,772,461,86,0
75,daySequence1--00087.jpg,stop,760,442,772,460,87,0
